Accession,Species,Host,Host_ID
NC_050154,Escherichia phage D6,Escherichia coli C600,"['NC_007414.1', 'NZ_MK033499.1', 'NZ_CP031214.1', 'CP031214.1', 'AF074613.1']"
NC_049941,Stx2-converting phage Stx2a_WGPS2,Escherichia coli O157:H7 strain 980938,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
NC_049942,Escherichia phage JLK-2012,Escherichia coli O55:H7 str. DEC5E,"['NC_017656.1', 'NC_017655.1', 'NC_017657.1', 'NC_017654.1', 'NC_017653.1', 'NC_017658.1', 'CP003114.1', 'CP003113.1', 'CP003112.1', 'CP003111.1', 'CP003110.1', 'CP003109.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'CP001847.1', 'NC_013942.1', 'NC_013941.1', 'NC_017656.1', 'NC_017655.1', 'NC_017657.1', 'NC_017654.1', 'NC_017653.1', 'NC_017658.1', 'NZ_KX808482.1', 'KX808482.1', 'CP003114.1', 'CP003113.1', 'CP003112.1', 'CP003111.1', 'CP003110.1', 'CP001847.1', 'CP003109.1', 'NC_017656.1', 'NC_017655.1', 'NC_017657.1', 'NC_017654.1', 'NC_017653.1', 'NC_017658.1', 'CP003114.1', 'CP003113.1', 'CP003112.1', 'CP003111.1', 'CP003110.1', 'CP003109.1', 'NC_011601.1', 'NC_011603.1', 'NC_011602.1', 'NZ_LT827011.1', 'NZ_LT903847.1']"
NC_049943,Enterobacteria phage 2851,E. coli O157:H7 strain CB2851,['NC_013008.1']
NC_049944,Stx2-converting phage Stx2a_WGPS8,Escherichia coli O157:H7 strain 982243,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
NC_049945,Stx2-converting phage Stx2a_WGPS6,Escherichia coli O157:H7 strain 990570,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
NC_049917,Escherichia phage Lys12581Vzw,Escherichia coli O145,"['NZ_CP035769.1', 'NZ_CP031340.1', 'NZ_CP031344.1', 'NZ_CP031352.1', 'NZ_CP031351.1', 'NZ_CP031348.1', 'NZ_CP035771.1', 'NZ_CP031346.1', 'NZ_CP035773.1', 'NZ_CP031342.1', 'NZ_CP035766.1', 'NZ_CP031354.1', 'CP031340.1', 'CP035773.1', 'CP035771.1', 'CP035769.1', 'CP035766.1', 'CP031354.1', 'CP031352.1', 'NZ_CP035769.1', 'NZ_CP035768.1', 'NZ_CP031341.1', 'NZ_CP031340.1', 'NZ_CP031345.1', 'NZ_CP031344.1', 'NZ_CP031353.1', 'NZ_CP031352.1', 'NZ_CP031351.1', 'NZ_CP031349.1', 'NZ_CP031348.1', 'NZ_CP035771.1', 'NZ_CP035770.1', 'NZ_CP031347.1', 'NZ_CP031346.1', 'NZ_CP035773.1', 'NZ_CP035772.1', 'NZ_CP031343.1', 'NZ_CP031342.1', 'NZ_CP024660.1', 'NZ_CP024659.1']"
NC_049918,Escherichia phage ArgO145,Escherichia coli O145:H- strain FB5,['CP032679.1']
NC_049923,Stx2-converting phage Stx2a_WGPS9,Escherichia coli O157:H7 strain 981795,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
NC_049924,Stx2-converting phage Stx2a_F451,Escherichia coli O157:H7 strain F451,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
